"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2021","1,729.90","1,720.10","1,728.60","1,720.10","0.01K","2.27%"
"Mar 08, 2021","1,691.50","1,718.50","1,718.50","1,687.20","0.25K","-1.25%"
"Mar 05, 2021","1,712.90","1,700.00","1,700.00","1,700.00","0.00K","-0.08%"
"Mar 04, 2021","1,714.30","1,723.50","1,724.80","1,704.00","0.01K","-0.86%"
"Mar 03, 2021","1,729.20","1,728.80","1,728.80","1,728.80","0.00K","-1.01%"
"Mar 02, 2021","1,746.90","1,737.20","1,737.20","1,727.90","0.00K","0.62%"
"Mar 01, 2021","1,736.20","1,736.50","1,736.60","1,736.50","0.00K","-0.36%"
"Feb 26, 2021","1,742.50","1,749.50","1,750.10","1,737.10","0.02K","-2.54%"
"Feb 25, 2021","1,787.90","1,802.10","1,802.10","1,802.10","0.00K","-1.11%"
"Feb 24, 2021","1,808.00","1,819.70","1,819.70","1,798.80","0.01K","-0.41%"
"Feb 23, 2021","1,815.50","1,815.80","1,815.80","1,803.80","0.02K","-0.14%"
"Feb 22, 2021","1,818.00","1,797.00","1,819.00","1,797.00","0.00K","1.68%"
"Feb 19, 2021","1,787.90","1,777.20","1,777.20","1,777.20","0.00K","0.13%"
"Feb 18, 2021","1,785.60","1,789.30","1,789.30","1,789.30","0.00K","0.10%"
"Feb 17, 2021","1,783.80","1,780.00","1,780.00","1,780.00","0.00K","-1.46%"
"Feb 16, 2021","1,810.20","1,819.80","1,819.80","1,808.20","0.02K","-0.47%"
"Feb 15, 2021","1,818.75","1,820.90","1,827.00","1,815.60","-","-0.13%"
"Feb 14, 2021","1,821.05","1,822.45","1,826.30","1,820.15","-","-0.72%"
"Feb 12, 2021","1,834.20","1,835.80","1,835.80","1,835.80","0.00K","-0.22%"
"Feb 11, 2021","1,838.30","1,845.00","1,845.00","1,845.00","0.00K","-0.85%"
"Feb 10, 2021","1,854.10","1,865.50","1,865.50","1,853.50","0.01K","0.28%"
"Feb 09, 2021","1,848.90","1,859.00","1,859.00","1,859.00","0.00K","0.21%"
"Feb 08, 2021","1,845.00","1,830.80","1,847.40","1,830.80","0.00K","1.06%"
